dataset,split,style,model,layer,SB/SW,Silhouette,DBI,N,D
tiny_imagenet,train,mhrp,student_kd,2,0.42810790697382384,-0.28260910051713833,4.429250959827872,1997,128
tiny_imagenet,train,mhrp,student_rkd,2,0.6260262221157189,-0.26156943656970294,3.3581710192228207,999,128
tiny_imagenet,train,mhrp,teacher,2,0.006465370033588193,-0.9433588083040677,37.98456878958459,1997,128
tiny_imagenet,train,mhrp,student,3,0.010555752878959858,-0.9270534619355272,30.90705219966709,1997,128
tiny_imagenet,train,mhrp,student_kd,3,0.4025863822369866,-0.2211067933439909,4.140093855260836,1997,128
tiny_imagenet,train,mhrp,student_rkd,3,0.5891468219662017,-0.20396101519319845,3.1421396573516036,999,128
tiny_imagenet,train,mhrp,teacher,3,0.002917925577684849,-0.9454124300067588,41.178079845385106,1997,256
tiny_imagenet,valid,aap,student,0,0.051596163922663855,-0.8395375212720889,23.07802751437788,1980,64
tiny_imagenet,valid,aap,student_kd,0,0.5664471965433975,-0.4009162833643626,4.142390671899735,1980,64
tiny_imagenet,valid,aap,student_rkd,0,0.558529166672652,-0.39146170796820134,4.149681499629545,990,64
tiny_imagenet,valid,aap,teacher,0,0.031092051374021355,-0.8785786596863905,26.63164926270303,1980,64
tiny_imagenet,valid,aap,student,1,0.023730526773197796,-0.9034534416742106,30.20277948035146,1980,64
tiny_imagenet,valid,aap,student_kd,1,0.546130675604567,-0.3241029427189948,3.707862079654509,1980,64
tiny_imagenet,valid,aap,student_rkd,1,0.5434212221408555,-0.3334110610741132,3.7132265929741712,990,64
tiny_imagenet,valid,aap,teacher,1,0.009177654191717361,-0.9472095320608656,38.74559338738884,1980,128
tiny_imagenet,valid,aap,student,2,0.015163932228897671,-0.9274848897213818,30.887574364461273,1980,128
tiny_imagenet,valid,aap,student_kd,2,0.5470330733053427,-0.23811124911279488,3.3759770832842557,1980,128
tiny_imagenet,valid,aap,student_rkd,2,0.547553877620234,-0.25852086871326263,3.390274230408689,990,128
tiny_imagenet,valid,aap,teacher,2,0.004180949522958135,-0.9624023974946948,46.68231762853516,1980,128
tiny_imagenet,valid,aap,student,3,0.011350905637540806,-0.9359476432016803,31.836836644149695,1980,128
tiny_imagenet,valid,aap,student_kd,3,0.5185310539954741,-0.15520096508655817,3.143187854903349,1980,128
tiny_imagenet,valid,aap,student_rkd,3,0.5174583252308486,-0.19935484533702114,3.1516645198210096,990,128
tiny_imagenet,valid,aap,teacher,3,0.0033816471449251676,-0.9566745343313247,37.93635148456548,1980,256
tiny_imagenet,valid,at,student,0,0.25220501557657593,-0.3105970059939876,4.432486629047707,1980,256
tiny_imagenet,valid,at,student_kd,0,0.2742229542566229,-0.20964460040449964,3.442277251282374,1980,256
tiny_imagenet,valid,at,student_rkd,0,0.27389210572743217,-0.28282576706499996,3.436261122246398,990,256
tiny_imagenet,valid,at,teacher,0,0.25525062994568654,-0.3660053321633558,4.8339405849282775,1980,256
tiny_imagenet,valid,at,student,1,0.23609998597175927,-0.35730137054296607,4.967796704142556,1980,256
tiny_imagenet,valid,at,student_kd,1,0.2732353845373691,-0.17481213704639015,3.4426902499039427,1980,256
tiny_imagenet,valid,at,student_rkd,1,0.2738304052509963,-0.23747305161290622,3.4352235878371444,990,256
tiny_imagenet,valid,at,teacher,1,0.2658206124441001,-0.4444131255335289,5.740080568910225,1980,64
tiny_imagenet,valid,at,student,2,0.234573243152987,-0.4331917534457563,5.758643688012347,1980,64
tiny_imagenet,valid,at,student_kd,2,0.28640927731844884,-0.20616153913550858,3.7307638179177367,1980,64
tiny_imagenet,valid,at,student_rkd,2,0.2851758775245301,-0.25381128463787594,3.702062519412321,990,64
tiny_imagenet,valid,at,teacher,2,0.2692452660226552,-0.5338225738625986,7.413519089043588,1980,64
tiny_imagenet,valid,at,student,3,0.23664651064361947,-0.4681573770398609,6.357790738436354,1980,64
tiny_imagenet,valid,at,student_kd,3,0.2811796206575257,-0.21144150276638193,3.739492238394437,1980,64
tiny_imagenet,valid,at,student_rkd,3,0.28330785028373995,-0.261989090726384,3.7155412076977776,990,64
tiny_imagenet,valid,at,teacher,3,0.23203221371659488,-0.601416191475107,8.99922921788108,1980,16
tiny_imagenet,valid,mhrp,student,0,0.048858482657771464,-0.844975572350287,24.442413685067876,1980,64
tiny_imagenet,valid,mhrp,student_kd,0,0.5733021928930172,-0.41916295715286556,4.284424026499265,1980,64
tiny_imagenet,valid,mhrp,student_rkd,0,0.5664419467152669,-0.4057425932063551,4.286603484401306,990,64
tiny_imagenet,valid,mhrp,teacher,0,0.03293274954878772,-0.8821886649951489,26.850479032329297,1980,64
tiny_imagenet,valid,mhrp,student,1,0.028940307473419916,-0.8984020560666978,29.20308245373866,1980,64
tiny_imagenet,valid,mhrp,student_kd,1,0.5409871617586376,-0.33758121547726866,3.827072575700908,1980,64
tiny_imagenet,valid,mhrp,student_rkd,1,0.5341424867320411,-0.34860930012849817,3.8346581908363113,990,64
tiny_imagenet,valid,mhrp,teacher,1,0.009263921109544644,-0.9471721848362468,39.24628960327808,1980,128
tiny_imagenet,valid,mhrp,student,2,0.015149393910381859,-0.931787402922789,32.34352113646833,1980,128
tiny_imagenet,valid,mhrp,student_kd,2,0.5622443682212642,-0.24646743792369288,3.436448393918339,1980,128
tiny_imagenet,valid,mhrp,student_rkd,2,0.5640862491273672,-0.27022670547854133,3.4450700365156193,990,128
tiny_imagenet,valid,mhrp,teacher,2,0.0037313419474633855,-0.9636130463412779,49.94998552062127,1980,128
tiny_imagenet,valid,mhrp,student,3,0.013770452025056215,-0.9311559471238381,29.464726367120477,1980,128
tiny_imagenet,valid,mhrp,student_kd,3,0.5332774978055408,-0.169093259919081,3.2127641198953607,1980,128
tiny_imagenet,valid,mhrp,student_rkd,3,0.5343993327640182,-0.21319256103012144,3.2057753070890995,990,128
tiny_imagenet,valid,mhrp,teacher,3,0.0029099444792499963,-0.9587293234675676,41.2875276203756,1980,256
